timestamp,src_ip,dst_ip,src_port,dst_port,protocol,length,flags
2025-07-26 16:47:06,169.150.218.80,192.168.1.11,1224,56309,UDP,1386,
2025-07-26 16:47:06,169.150.218.80,192.168.1.11,1224,56309,UDP,1386,
2025-07-26 16:47:06,192.168.1.11,169.150.218.80,56309,1224,UDP,122,
2025-07-26 16:47:06,169.150.218.80,192.168.1.11,1224,56309,UDP,1386,
2025-07-26 16:47:06,169.150.218.80,192.168.1.11,1224,56309,UDP,1386,
2025-07-26 16:47:06,192.168.1.11,169.150.218.80,56309,1224,UDP,122,
2025-07-26 16:47:06,169.150.218.80,192.168.1.11,1224,56309,UDP,1466,
2025-07-26 16:47:06,169.150.218.80,192.168.1.11,1224,56309,UDP,1450,
2025-07-26 16:47:06,169.150.218.80,192.168.1.11,1224,56309,UDP,1466,
2025-07-26 16:47:06,192.168.1.11,169.150.218.80,56309,1224,UDP,122,
2025-07-26 16:47:06,169.150.218.80,192.168.1.11,1224,56309,UDP,1434,
2025-07-26 16:47:06,169.150.218.80,192.168.1.11,1224,56309,UDP,1434,
2025-07-26 16:47:06,192.168.1.11,169.150.218.80,56309,1224,UDP,122,
2025-07-26 16:47:06,169.150.218.80,192.168.1.11,1224,56309,UDP,1434,
2025-07-26 16:47:06,169.150.218.80,192.168.1.11,1224,56309,UDP,1434,
2025-07-26 16:47:06,192.168.1.11,169.150.218.80,56309,1224,UDP,122,
2025-07-26 16:47:06,169.150.218.80,192.168.1.11,1224,56309,UDP,1434,
2025-07-26 16:47:06,169.150.218.80,192.168.1.11,1224,56309,UDP,1434,
2025-07-26 16:47:06,192.168.1.11,169.150.218.80,56309,1224,UDP,122,
2025-07-26 16:47:06,169.150.218.80,192.168.1.11,1224,56309,UDP,1434,
2025-07-26 16:47:06,169.150.218.80,192.168.1.11,1224,56309,UDP,1434,
2025-07-26 16:47:06,192.168.1.11,169.150.218.80,56309,1224,UDP,122,
2025-07-26 16:47:06,169.150.218.80,192.168.1.11,1224,56309,UDP,1434,
2025-07-26 16:47:06,169.150.218.80,192.168.1.11,1224,56309,UDP,1194,
2025-07-26 16:47:06,192.168.1.11,169.150.218.80,56309,1224,UDP,138,
2025-07-26 16:47:06,192.168.1.11,169.150.218.80,56309,1224,UDP,122,
2025-07-26 16:47:06,192.168.1.11,169.150.218.80,56309,1224,UDP,138,
2025-07-26 16:47:06,169.150.218.80,192.168.1.11,1224,56309,UDP,1466,
2025-07-26 16:47:06,169.150.218.80,192.168.1.11,1224,56309,UDP,1466,
